fiyat,bakimmaliyeti,kapisayisi,kapasite,bagajboyutu,guvenlik,sonuc
cokyuksek,cokyuksek,2,2,kucuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,2,kucuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,2,kucuk,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,2,orta,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,2,orta,orta,kabuledilemez
cokyuksek,cokyuksek,2,2,orta,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,2,buyuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,2,buyuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,2,buyuk,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,4,kucuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,4,kucuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,4,kucuk,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,4,orta,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,4,orta,orta,kabuledilemez
cokyuksek,cokyuksek,2,4,orta,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,4,buyuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,4,buyuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,4,buyuk,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,5,kucuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,5,kucuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,5,kucuk,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,5,orta,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,5,orta,orta,kabuledilemez
cokyuksek,cokyuksek,2,5,orta,yuksek,kabuledilemez
cokyuksek,cokyuksek,2,5,buyuk,dusuk,kabuledilemez
cokyuksek,cokyuksek,2,5,buyuk,orta,kabuledilemez
cokyuksek,cokyuksek,2,5,buyuk,yuksek,kabuledilemez
